date,mf_type,sip_type,nav
09-Jan-2023,Direct,Direct,75.71
07-Feb-2023,Direct,Direct,74.28
08-Mar-2023,Direct,Direct,74.33
10-Apr-2023,Direct,Direct,74.29
08-May-2023,Direct,Direct,76.49
07-Jun-2023,Direct,Direct,78.89
07-Jul-2023,Direct,Direct,81.72
07-Aug-2023,Direct,Direct,84.01
09-Aug-2023,Direct,Direct,84.29
09-Oct-2023,Direct,Direct,85.23
17-Nov-2023,Direct,Direct,87.89
07-Dec-2023,Direct,Direct,93.08
08-Dec-2023,Direct,Direct,93.33
07-Feb-2024,Direct,Direct,101.34
08-Feb-2024,Direct,Direct,100.75
05-Mar-2024,Direct,Direct,104.30
09-Oct-2023,Direct,Direct,85.23
07-May-2024,Direct,Direct,104.83
07-Jun-2024,Direct,Direct,109.71
08-Jul-2024,Direct,Direct,114.95
09-Oct-2023,Direct,Direct,85.23
07-Aug-2024,Direct,Direct,115.74
12-Aug-2024,Direct,Direct,115.99
07-Oct-2024,Direct,Direct,118.15
05-Nov-2024,Direct,Lumpsum,115.76
07-Nov-2024,Direct,Direct,115.69
09-Dec-2024,Direct,Direct,118.20
27-Dec-2024,Direct,Lumpsum,114.30
