date,mf_type,sip_type,nav
08-Jun-2022,Direct,SIP,110.696
07-Jul-2022,Direct,SIP,110.0959
08-Aug-2022,Direct,SIP,120.8529
07-Dec-2022,Direct,SIP,130.6184
09-Jan-2023,Direct,SIP,126.4462
09-Jan-2023,Direct,SIP,126.4462
07-Feb-2023,Direct,SIP,124.4182
08-Mar-2023,Direct,SIP,124.7469
10-Apr-2023,Direct,SIP,122.9416
08-May-2023,Direct,SIP,128.9877
08-May-2023,Direct,SIP,128.9877
07-Jun-2023,Direct,SIP,134.9855
07-Jul-2023,Direct,SIP,139.5112
07-Jul-2023,Direct,SIP,139.5112
07-Sep-2023,Direct,SIP,153.151
09-Oct-2023,Direct,SIP,149.6845
09-Oct-2023,Direct,SIP,149.6845
07-Dec-2023,Direct,SIP,159.9568
08-Jan-2024,Direct,SIP,162.5916
07-Feb-2024,Direct,SIP,168.7067
07-Mar-2024,Direct,SIP,169.9846
07-Mar-2024,Direct,SIP,169.9846
08-Apr-2024,Direct,SIP,175.5646
07-Jun-2024,Direct,SIP,189.5698
08-Jul-2024,Direct,SIP,203.9505
07-Aug-2024,Direct,SIP,202.0034
07-Oct-2024,Direct,SIP,205.9307
